"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-2.3568403733479,0.984062328307298,-5.99412753398393,0.00198942381697452,0.999987248375279,-4.40346763527983,"Il4i1"
-1.47153370512591,1.29627805602658,-2.93994337991939,0.0330672215129036,0.999987248375279,-4.47070282119407,"Cpa1"
-1.19869485532313,0.816259327722006,-3.10796050293239,0.0273499995359643,0.999987248375279,-4.46375204734561,"Mir5133"
-1.11657722973065,0.603303992631765,-3.80825941138022,0.0130116487450603,0.999987248375279,-4.44050881837089,"Sycn"
-1.02827805590917,0.745395124681346,-2.86654046717501,0.0359766681051531,0.999987248375279,-4.47393327150884,"Gsta1"
-1.01943714570883,0.999766289953795,-2.89601328761292,0.0347753878394028,0.999987248375279,-4.47262157707402,"Mir181b-2"
-1.01826257429941,4.92167503009672,-2.74080541996283,0.0416482416960577,0.999987248375279,-4.47975521665139,"Tmsb15b1"
