"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-2.41792040988636,4.84518294692732,-8.64979104970525,2.84581515723053e-06,1.91879841652419e-05,4.18611381225567,"SPNCRNA.1262"
-2.36977006103011,7.62395785240751,-21.8978995877629,1.67247631943978e-10,9.9948328423273e-09,14.5837771733076,"SPNCRNA.1389"
-2.30623028890579,7.51898479498339,-23.0025462316565,9.77791696271603e-11,6.71578273807048e-09,15.1476776249319,"SPNCRNA.1390"
-2.24431998087498,1.56101395213862,-5.34070487856366,0.000227912528742465,0.000712254743519685,-0.486024566228683,"SPBC1348.15"
-2.21331273786602,4.12540728107943,-12.2305089647442,8.50167215274787e-08,1.23327161186749e-06,7.9506927275575,"SPAC869.03c"
-2.18043749914122,8.46025339863241,-20.9313351241991,2.73382309535091e-10,1.47037623713027e-08,14.06605217483,"SPBPB8B6.03"
-2.13417095632628,11.8659513097223,-41.4715004997953,1.49131822229741e-13,6.51706063143968e-11,21.7455692052831,"SPBC428.03c"
-2.13310647667193,10.2279629834647,-27.5103719724106,1.37775312403964e-11,1.57922128578446e-09,17.1890772007451,"SPCC794.01c"
-2.13288971206908,7.00483347661054,-12.8665613769878,5.00532911287324e-08,7.86455306903589e-07,8.51835834719236,"SPNCRNA.1554"
-2.12591199859358,10.3551750036178,-25.3893293108816,3.32155284735962e-11,2.93978449477702e-09,16.2761014527704,"SPAC20G4.03c"
-2.10546223459813,11.5115123032526,-26.9218115186766,1.74689914958015e-11,1.90848732091631e-09,16.9434431404035,"SPBP8B7.18c"
-2.10235427609768,6.16980054215004,-10.7351981182435,3.26704975222678e-07,3.47689678349614e-06,6.50713935460559,"SPNCRNA.1165"
-2.09505421355446,11.5179710619774,-26.7859086851114,1.84665121265287e-11,1.95633110285892e-09,16.8859103986734,"SPNCRNA.1629"
-2.09400019181579,4.39509414513316,-7.51025216947592,1.10762208623257e-05,5.66532086827954e-05,2.73148856164309,"SPNCRNA.1223"
-2.08355726299056,11.3083942678866,-24.0804547419566,5.92833047111612e-11,4.50553115804825e-09,15.671679670783,"SPAC4H3.08"
-2.07526637917484,10.8446959213942,-16.9023224467951,2.75921433666467e-09,9.05747729669454e-08,11.6149452527675,"SPBC32H8.02c"
-2.07155592424801,8.87139723857786,-40.5923781496694,1.89016956509837e-13,6.955823999562e-11,21.51451449444,"SPAP14E8.05c"
-2.05662043032561,7.82094202401286,-10.9050977355786,2.78197774486308e-07,3.02513038757117e-06,6.67953080643672,"SPNCRNA.1219"
-2.05437351426379,11.0396377541888,-25.9053138527941,2.66437021610262e-11,2.58739952097077e-09,16.5054431960528,"SPCC191.01"
-2.04958077767627,9.28171744050252,-29.5089338164018,6.3745762664327e-12,8.73941906958774e-10,17.9829006120676,"SPCPB16A4.06c"
-2.02216251385915,7.8096507071994,-26.5650379886111,2.02225053011897e-11,2.11038443381968e-09,16.7917419040213,"SPBCPT2R1.08c"
-2.01689080517224,7.70435220460057,-27.0989843840662,1.62556446626524e-11,1.83321721743976e-09,17.0179841241215,"SPAC212.11"
-2.0107040260081,11.2652538740264,-23.4923670935142,7.76791975193096e-11,5.59930875314446e-09,15.388874355121,"SPCC1739.08c"
-1.99750478119265,7.58990464770361,-13.9673277723319,2.10901793697553e-08,4.07355066721903e-07,9.44366159406415,"SPNCRNA.1553"
-1.99467276780022,8.29854812628684,-23.6165694605145,7.33300318403266e-11,5.39709034344804e-09,15.4492084692787,"SPNCRNA.07"
-1.99072563681229,14.4216156289228,-35.2996402671758,8.84963182463264e-13,2.2917268784382e-10,19.9863328805,"SPAC24C9.06c"
-1.9905330951661,10.6923655431864,-32.0853715426014,2.53639951234529e-12,5.06700154009093e-10,18.9238899780531,"SPAC27D7.03c"
-1.98972447476921,2.86372240482575,-4.6431941309496,0.000691317768354267,0.00179932629900037,-1.65434194073493,"SPNCRNA.1172"
-1.98162167180113,5.66663209906884,-15.2407263447543,8.35142501692691e-09,2.05000954286768e-07,10.4339105266399,"SPNCRNA.940"
-1.96964786222334,5.09387447555473,-10.6664972358191,3.48854596984026e-07,3.67902163214527e-06,6.4367789619805,"SPAC212.06c"
-1.95126059547374,5.97236913091184,-12.614159768392,6.15897174226726e-08,9.36163704824623e-07,8.29614923790735,"SPNCRNA.900"
-1.93198302523254,11.4368675933056,-30.1565459182302,5.02022378438185e-12,7.63074015226041e-10,18.2276820291654,"SPBC19F8.07"
-1.92539826040795,10.4147420332953,-17.7422674676321,1.63731122476587e-09,5.93183540977274e-08,12.1701696634146,"SPCC794.04c"
-1.91333559547669,9.78188518712004,-24.5209748225556,4.86194961887422e-11,3.81963502642343e-09,15.8788596598068,"SPBPB8B6.04c"
-1.90850652869122,6.08767715001289,-8.45021890572819,3.57466579160576e-06,2.30785440580863e-05,3.94182667182089,"SPCC1183.12"
-1.9045255976058,13.3229806542394,-33.4616509252848,1.59641160176453e-12,3.72070330651254e-10,19.3928418147595,"SPAC4A8.04"
-1.89733702278844,5.2714208996557,-11.0210128717183,2.49605690536422e-07,2.7982304806523e-06,6.79584880780306,"SPAC186.08c"
-1.89339317124417,11.0747686629972,-31.5026385263308,3.10395370551905e-12,5.4257110772473e-10,18.7185328782588,"SPBP23A10.16"
-1.89098253505288,10.2179927574717,-31.113647384649,3.55913805257024e-12,5.95709530779367e-10,18.5790968144905,"SPCC569.09"
-1.88717845563961,10.1639835031623,-9.85106800337445,7.81548417849169e-07,6.98796232429845e-06,5.57160186130536,"SPBC354.11c"
