"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"Bpifb1",1.16240492266667,-0.573355648,6.00700094987493,0.00115787086229183,0.419081593645558,-0.585833400274756,4429
"Plch2",1.159114447,1.78284509083333,3.39143065821677,0.0158718052307154,0.593167330418789,-2.65859215983784,4183
"Hc",1.15441491466667,1.12903236166667,3.91829563292192,0.00866296767329283,0.558604147384058,-2.13984781868796,1465
"Lrat",1.14709452866667,2.91840226,7.11595427124095,0.000487204893533218,0.374806254256395,-0.0222325951727544,10565
"LOC108169183",1.14431432466667,-1.06530823733333,3.34332271297628,0.0168100963992722,0.597393792988391,-2.70864738471351,12351
"Trim63",1.134730038,-0.653617583666667,3.52344837831119,0.0135824250954514,0.582615600557222,-2.52351310834419,2045
"Scx",1.13011087366667,2.01815329683333,4.90533323146595,0.00311611028398588,0.46165443454961,-1.31218548937677,2903
"Bpifb5",1.12161824566667,1.47079545616667,3.95579826751703,0.00831111119904014,0.555898470199213,-2.10500263260453,2448
"AI182371",1.10913322266667,-0.090626801,2.49612516388593,0.0488765986809904,0.697111058112543,-3.6551939211102,542
"Cdh9",1.10714368166667,-0.1765954155,2.83083960220595,0.0316771964123493,0.654060070357121,-3.26788469450803,4125
"Tcl1b5",1.09536714733333,0.00393279600000001,5.86964853877266,0.0012999610994284,0.431833518269261,-0.666439324487129,5022
"Spta1",1.079772957,2.96077989016667,4.0633812787755,0.00738782676944385,0.533154831861531,-2.00657310080562,1372
"Gm14403",1.07228377,3.87198153466667,2.83388132704562,0.0315547212071998,0.654060070357121,-3.26443536372075,13858
"Cep295nl",1.06073155466667,-1.18291965333333,2.67556439117912,0.0386681920385386,0.6758529636826,-3.44575644765932,16259
"Cebpe",1.040623339,-1.47017218983333,2.74904786607513,0.0351716481028811,0.6680667536685,-3.36115282613541,7351
"Cyp4f14",1.03511166166667,-0.406298052166667,4.74261321513768,0.00365342242208165,0.476755415853669,-1.43624352979419,4865
"Hgfac",1.033408017,-0.212918777833333,3.59113518854473,0.0125530669764457,0.577392060288051,-2.45556841987881,1728
"Gm41949",1.02500080966667,1.2631697235,2.58890105247753,0.0432796092147368,0.683483795094824,-3.54643911762912,192
"Gm38456",1.017050176,-0.777990611333333,3.20202783309882,0.0199401215364198,0.619764472909373,-2.85817905506145,3784
"Hist2h2bb",1.006799947,-0.641751199833333,7.95120241947439,0.000272325329526606,0.374806254256395,0.316094027103343,5316
"Alas2",1.000812785,3.42792391816667,2.84660786759171,0.0310478339515264,0.654060070357121,-3.25001871685329,1581
